127.0.0.1 - - [11/Nov/2022:17:57:34 -0600] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:34:26 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:34:27 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:34:50 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:35:11 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:35:41 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:35:42 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:38:23 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:39:16 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:39:40 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:40:31 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:40:49 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:41:48 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:42:40 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:43:09 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:43:43 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:46:24 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:48:18 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:48:19 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:48:20 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:49:00 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:49:47 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:49:49 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:50:57 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:51:43 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:51:45 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:54:07 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:57:44 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [11/Nov/2022:22:59:08 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:00:52 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:01:35 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:02:13 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:04:51 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:06:08 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:06:44 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:07:54 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:08:27 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:09:02 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:09:14 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:09:15 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:09:39 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:09:40 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:10:42 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:12:04 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:13:45 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:14:05 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:15:10 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:15:12 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:15:26 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:16:25 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:16:31 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:17:22 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:20:07 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:20:28 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:20:42 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:22:28 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:22:42 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:22:58 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:24:00 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:24:15 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:24:33 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:24:47 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:24:59 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:25:10 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:25:55 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2015
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:26:43 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:26:56 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:27:35 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:27:51 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:28:04 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:28:41 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:28:54 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:29:07 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:30:04 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:30:12 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:30:31 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:31:43 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Me+Time&editShowButton=Edit+show HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:32:27 -0600] "GET /project3/DataServlet?editWeekCheckbox=weekCheckbox&weekTextParameter=New+wekk&categoryTextParameter=&rankTextParameter=&titleTextParameter=&seasonTextParameter=&hrsViewedTextParameter=&wksTop10TextParameter=&editItemsButton=Edit+Selected+Items HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:32:35 -0600] "GET /project3/DataServlet?logOutButton=Log+out HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:32:45 -0600] "GET /project3/DataServlet?userNameParameter=md&passwordParameter=pw&loginCheck=Login HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:32:46 -0600] "GET /project3/DataServlet?userName=md&maintenanceModeButton=Maintenance+Mode HTTP/1.1" 200 114822
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:32:58 -0600] "GET /project3/DataServlet?userName=md&weeks=New+wekk&getShowsButton=Get+Show+List HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:33:24 -0600] "GET /project3/DataServlet?userName=md&weeks=2022-09-04&getShowsButton=Get+Show+List HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:33:37 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=I+Came+By&editShowButton=Edit+show HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:38:47 -0600] "GET /project3/DataServlet?userName=md&maintenanceModeButton=Maintenance+Mode HTTP/1.1" 200 114829
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:40:57 -0600] "GET /project3/DataServlet?userName=md&weeks=New+wekk&getShowsButton=Get+Shows+this+Week HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:41:02 -0600] "GET /project3/DataServlet?userName=md&weeks=2022-09-04&getShowsButton=Get+Shows+this+Week HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [11/Nov/2022:23:41:07 -0600] "GET /project3/DataServlet?userName=md&targetWeek=2022-09-04&shows=Love+in+the+Villa&editShowButton=Edit+show HTTP/1.1" 200 2075
